Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Closing Balance
01-May-2024 00:00,SALARY CREDIT - CORP,RR322458,0.0,92633.21,167633.21
01-May-2024 10:00,Local Vegetable Vendor,RR821179,54.55,0.0,167578.67
01-May-2024 20:00,Auto-UPI Pay,RR292107,267.35,0.0,167311.32
02-May-2024 06:00,Nandini Milk Parlour,RR179815,231.62,0.0,167079.7
02-May-2024 16:00,SLV Refreshments,RR210948,931.55,0.0,166148.15
03-May-2024 02:00,Fastrack Service Center,RR373860,995.38,0.0,165152.77
03-May-2024 12:00,Local Vegetable Vendor,RR888417,838.67,0.0,164314.1
03-May-2024 22:00,Auto-UPI Pay,RR797129,1147.32,0.0,163166.78
04-May-2024 08:00,Amma Bakery,RR684132,648.68,0.0,162518.1
04-May-2024 18:00,Shell Petrol Bunk,RR125849,1012.85,0.0,161505.25
05-May-2024 04:00,Nandini Milk Parlour,RR886781,1139.56,0.0,160365.69
05-May-2024 14:00,Auto-UPI Pay,RR462659,850.97,0.0,159514.72
06-May-2024 00:00,Siddeshwara Kirana Store,RR325610,256.81,0.0,159257.92
06-May-2024 10:00,Shell Petrol Bunk,RR904020,635.6,0.0,158622.32
06-May-2024 20:00,SLV Refreshments,RR528615,1035.99,0.0,157586.33
07-May-2024 06:00,Star Local Supermarket,RR383169,213.48,0.0,157372.85
07-May-2024 16:00,Star Local Supermarket,RR927058,1065.76,0.0,156307.09
08-May-2024 02:00,Laundry Service,RR744799,293.18,0.0,156013.91
08-May-2024 12:00,Auto-UPI Pay,RR658045,93.13,0.0,155920.78
08-May-2024 22:00,Balaji Medicals,RR755660,401.2,0.0,155519.58
09-May-2024 08:00,Balaji Medicals,RR253260,284.75,0.0,155234.83
09-May-2024 18:00,Fastrack Service Center,RR746202,831.38,0.0,154403.44
10-May-2024 04:00,Amma Bakery,RR192343,183.44,0.0,154220.0
10-May-2024 14:00,Auto-UPI Pay,RR534600,965.18,0.0,153254.82
11-May-2024 00:00,Laundry Service,RR189980,269.08,0.0,152985.74
11-May-2024 10:00,Fastrack Service Center,RR381011,851.34,0.0,152134.4
11-May-2024 20:00,Amma Bakery,RR432041,426.79,0.0,151707.61
12-May-2024 06:00,Fastrack Service Center,RR176333,553.36,0.0,151154.25
12-May-2024 16:00,Nandini Milk Parlour,RR106184,867.61,0.0,150286.64
13-May-2024 02:00,Siddeshwara Kirana Store,RR979243,327.12,0.0,149959.51
13-May-2024 12:00,Amma Bakery,RR733183,189.95,0.0,149769.57
13-May-2024 22:00,Star Local Supermarket,RR662637,542.4,0.0,149227.17
14-May-2024 08:00,Star Local Supermarket,RR978292,446.17,0.0,148781.0
14-May-2024 18:00,Shell Petrol Bunk,RR934706,1182.86,0.0,147598.14
15-May-2024 04:00,Siddeshwara Kirana Store,RR736050,849.58,0.0,146748.56
15-May-2024 14:00,Laundry Service,RR579932,325.9,0.0,146422.66
16-May-2024 00:00,Star Local Supermarket,RR801935,465.04,0.0,145957.63
16-May-2024 10:00,Amma Bakery,RR759267,827.71,0.0,145129.92
16-May-2024 20:00,SLV Refreshments,RR616172,178.35,0.0,144951.57
17-May-2024 06:00,Nandini Milk Parlour,RR494202,317.88,0.0,144633.68
17-May-2024 16:00,Auto-UPI Pay,RR975652,259.45,0.0,144374.23
18-May-2024 02:00,Fastrack Service Center,RR356777,164.65,0.0,144209.58
18-May-2024 12:00,Amma Bakery,RR213081,1156.12,0.0,143053.45
18-May-2024 22:00,Nandini Milk Parlour,RR318498,828.63,0.0,142224.83
19-May-2024 08:00,SLV Refreshments,RR352934,476.19,0.0,141748.64
19-May-2024 18:00,Nandini Milk Parlour,RR655286,249.43,0.0,141499.21
20-May-2024 04:00,Balaji Medicals,RR854905,523.55,0.0,140975.66
20-May-2024 14:00,Star Local Supermarket,RR172553,319.88,0.0,140655.78
21-May-2024 00:00,Shell Petrol Bunk,RR806212,220.2,0.0,140435.57
21-May-2024 10:00,Nandini Milk Parlour,RR290789,415.94,0.0,140019.63
21-May-2024 20:00,Laundry Service,RR884744,906.62,0.0,139113.02
22-May-2024 06:00,Nandini Milk Parlour,RR382419,821.37,0.0,138291.65
22-May-2024 16:00,Fastrack Service Center,RR642071,455.63,0.0,137836.02
23-May-2024 02:00,Star Local Supermarket,RR701167,351.85,0.0,137484.17
23-May-2024 12:00,Laundry Service,RR254590,844.62,0.0,136639.54
23-May-2024 22:00,SLV Refreshments,RR582554,913.13,0.0,135726.41
24-May-2024 08:00,Star Local Supermarket,RR732091,458.89,0.0,135267.52
24-May-2024 18:00,Auto-UPI Pay,RR547874,436.52,0.0,134831.0
25-May-2024 04:00,Fastrack Service Center,RR150869,595.53,0.0,134235.48
25-May-2024 14:00,Fastrack Service Center,RR221881,1082.51,0.0,133152.97
26-May-2024 00:00,SLV Refreshments,RR302580,479.6,0.0,132673.37
26-May-2024 10:00,Siddeshwara Kirana Store,RR323205,824.21,0.0,131849.16
26-May-2024 20:00,Local Vegetable Vendor,RR861490,344.68,0.0,131504.48
27-May-2024 06:00,Shell Petrol Bunk,RR840599,573.33,0.0,130931.15
27-May-2024 16:00,Laundry Service,RR561059,614.18,0.0,130316.97
28-May-2024 02:00,Fastrack Service Center,RR785493,660.46,0.0,129656.51
28-May-2024 12:00,SLV Refreshments,RR757108,470.02,0.0,129186.49
28-May-2024 22:00,Nandini Milk Parlour,RR874825,777.36,0.0,128409.13
29-May-2024 08:00,Auto-UPI Pay,RR688459,1169.01,0.0,127240.12
29-May-2024 18:00,SLV Refreshments,RR390675,450.5,0.0,126789.62
