Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Closing Balance
01-May-2024 00:00,CASH DEPOSIT-CDM,RR246113,0.0,12056.09,27056.09
01-May-2024 10:00,FAILED-UPI-REV,RR153617,1524.94,0.0,25531.15
01-May-2024 20:00,CASH-OUT-AGENT,RR564395,3583.07,0.0,21948.08
02-May-2024 06:00,DREAM11-ENTRY,RR726873,4611.6,0.0,17336.48
02-May-2024 16:00,ATM WITHDRAWAL,RR534212,3065.45,0.0,14271.03
03-May-2024 02:00,FAILED-UPI-REV,RR124763,1821.7,0.0,12449.33
03-May-2024 12:00,LOCAL WINE STORE,RR404946,4778.56,0.0,7670.77
03-May-2024 22:00,DREAM11-ENTRY,RR528287,1614.01,0.0,6056.76
04-May-2024 08:00,CASH-OUT-AGENT,RR976012,867.36,0.0,5189.4
04-May-2024 18:00,FAILED-UPI-REV,RR735682,647.09,0.0,4542.31
05-May-2024 04:00,CASH-OUT-AGENT,RR430745,782.71,0.0,3759.6
05-May-2024 14:00,DREAM11-ENTRY,RR793395,1672.39,0.0,2087.21
06-May-2024 00:00,ATM WITHDRAWAL,RR581737,4161.21,0.0,-2074.0
06-May-2024 10:00,ATM WITHDRAWAL,RR270208,519.96,0.0,-2593.96
06-May-2024 20:00,ATM WITHDRAWAL,RR360704,2116.44,0.0,-4710.41
07-May-2024 06:00,FAILED-UPI-REV,RR737934,4069.12,0.0,-8779.53
07-May-2024 16:00,CASH-OUT-AGENT,RR284833,730.2,0.0,-9509.73
08-May-2024 02:00,FAILED-UPI-REV,RR644806,911.34,0.0,-10421.07
08-May-2024 12:00,LOCAL WINE STORE,RR990892,3452.52,0.0,-13873.58
08-May-2024 22:00,FAILED-UPI-REV,RR841036,4224.41,0.0,-18097.99
09-May-2024 08:00,CASH-OUT-AGENT,RR248711,4678.22,0.0,-22776.21
09-May-2024 18:00,CASH-OUT-AGENT,RR891647,519.88,0.0,-23296.1
10-May-2024 04:00,LOCAL WINE STORE,RR667187,648.63,0.0,-23944.73
10-May-2024 14:00,ATM WITHDRAWAL,RR648802,3561.85,0.0,-27506.58
11-May-2024 00:00,FAILED-UPI-REV,RR813515,2655.73,0.0,-30162.3
11-May-2024 10:00,FAILED-UPI-REV,RR326615,641.62,0.0,-30803.93
11-May-2024 20:00,LOCAL WINE STORE,RR272425,4745.95,0.0,-35549.87
12-May-2024 06:00,FAILED-UPI-REV,RR870419,752.32,0.0,-36302.19
12-May-2024 16:00,FAILED-UPI-REV,RR306126,950.81,0.0,-37253.01
13-May-2024 02:00,ATM WITHDRAWAL,RR543232,1408.4,0.0,-38661.41
13-May-2024 12:00,CASH-OUT-AGENT,RR684388,4840.28,0.0,-43501.69
13-May-2024 22:00,DREAM11-ENTRY,RR716074,2536.76,0.0,-46038.45
14-May-2024 08:00,FAILED-UPI-REV,RR474869,4942.31,0.0,-50980.76
14-May-2024 18:00,DREAM11-ENTRY,RR236404,3791.25,0.0,-54772.01
15-May-2024 04:00,CASH-OUT-AGENT,RR728805,3232.7,0.0,-58004.71
15-May-2024 14:00,DREAM11-ENTRY,RR669595,2399.36,0.0,-60404.07
16-May-2024 00:00,DREAM11-ENTRY,RR969751,2175.16,0.0,-62579.23
16-May-2024 10:00,ATM WITHDRAWAL,RR921165,3193.36,0.0,-65772.58
16-May-2024 20:00,ATM WITHDRAWAL,RR828867,1537.08,0.0,-67309.66
17-May-2024 06:00,DREAM11-ENTRY,RR192681,2950.83,0.0,-70260.49
17-May-2024 16:00,FAILED-UPI-REV,RR857489,4134.85,0.0,-74395.34
18-May-2024 02:00,LOCAL WINE STORE,RR406482,3961.27,0.0,-78356.62
18-May-2024 12:00,CASH-OUT-AGENT,RR776236,4744.09,0.0,-83100.71
18-May-2024 22:00,CASH-OUT-AGENT,RR854261,1158.1,0.0,-84258.8
19-May-2024 08:00,CASH-OUT-AGENT,RR477267,893.2,0.0,-85152.0
19-May-2024 18:00,LOCAL WINE STORE,RR582148,2142.46,0.0,-87294.47
20-May-2024 04:00,CASH-OUT-AGENT,RR990518,3744.02,0.0,-91038.49
20-May-2024 14:00,DREAM11-ENTRY,RR463930,508.07,0.0,-91546.55
21-May-2024 00:00,CASH-OUT-AGENT,RR619739,4913.38,0.0,-96459.93
21-May-2024 10:00,ATM WITHDRAWAL,RR339557,3312.18,0.0,-99772.11
21-May-2024 20:00,CASH-OUT-AGENT,RR699071,819.59,0.0,-100591.7
22-May-2024 06:00,FAILED-UPI-REV,RR964413,2070.81,0.0,-102662.51
22-May-2024 16:00,LOCAL WINE STORE,RR883142,128.68,0.0,-102791.19
23-May-2024 02:00,ATM WITHDRAWAL,RR934233,2365.84,0.0,-105157.03
23-May-2024 12:00,ATM WITHDRAWAL,RR160453,2314.7,0.0,-107471.73
23-May-2024 22:00,CASH-OUT-AGENT,RR352195,1421.58,0.0,-108893.31
24-May-2024 08:00,CASH-OUT-AGENT,RR993681,2210.24,0.0,-111103.55
24-May-2024 18:00,CASH-OUT-AGENT,RR938877,318.13,0.0,-111421.67
25-May-2024 04:00,LOCAL WINE STORE,RR389438,2206.3,0.0,-113627.97
25-May-2024 14:00,LOCAL WINE STORE,RR364405,2424.51,0.0,-116052.48
26-May-2024 00:00,ATM WITHDRAWAL,RR965628,2841.19,0.0,-118893.67
26-May-2024 10:00,ATM WITHDRAWAL,RR429950,1207.47,0.0,-120101.14
26-May-2024 20:00,FAILED-UPI-REV,RR435431,2430.0,0.0,-122531.14
27-May-2024 06:00,DREAM11-ENTRY,RR171611,115.02,0.0,-122646.16
27-May-2024 16:00,DREAM11-ENTRY,RR441010,1433.46,0.0,-124079.62
28-May-2024 02:00,FAILED-UPI-REV,RR544324,1148.74,0.0,-125228.36
28-May-2024 12:00,DREAM11-ENTRY,RR161867,4964.98,0.0,-130193.34
28-May-2024 22:00,FAILED-UPI-REV,RR717464,1513.74,0.0,-131707.08
29-May-2024 08:00,CASH-OUT-AGENT,RR437726,3664.6,0.0,-135371.68
29-May-2024 18:00,FAILED-UPI-REV,RR247230,736.94,0.0,-136108.63
