Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Closing Balance
01-May-2024 00:00,UPI-INWARD-TRANSFER,RR420829,0.0,43011.92,58011.92
01-May-2024 10:00,Amma Bakery,RR808973,1603.33,0.0,56408.59
01-May-2024 20:00,Nandini Milk Parlour,RR743404,758.8,0.0,55649.79
02-May-2024 06:00,Auto-UPI Pay,RR762895,161.16,0.0,55488.64
02-May-2024 16:00,Amma Bakery,RR257199,2322.64,0.0,53166.0
03-May-2024 02:00,Shell Petrol Bunk,RR511687,30.84,0.0,53135.16
03-May-2024 12:00,Balaji Medicals,RR335480,221.68,0.0,52913.48
03-May-2024 22:00,Laundry Service,RR614283,113.19,0.0,52800.28
04-May-2024 08:00,Auto-UPI Pay,RR626810,1018.73,0.0,51781.56
04-May-2024 18:00,Zomato Pay,RR145131,588.85,0.0,51192.7
05-May-2024 04:00,Auto-UPI Pay,RR441427,1429.18,0.0,49763.53
05-May-2024 14:00,Star Local Supermarket,RR323709,1764.69,0.0,47998.83
06-May-2024 00:00,Amma Bakery,RR225266,2120.4,0.0,45878.43
06-May-2024 10:00,Fastrack Service Center,RR169478,1677.34,0.0,44201.1
06-May-2024 20:00,Laundry Service,RR101710,959.59,0.0,43241.5
07-May-2024 06:00,SLV Refreshments,RR886562,367.32,0.0,42874.19
07-May-2024 16:00,Siddeshwara Kirana Store,RR655303,319.36,0.0,42554.83
08-May-2024 02:00,Fastrack Service Center,RR530097,1153.69,0.0,41401.14
08-May-2024 12:00,Auto-UPI Pay,RR140991,403.34,0.0,40997.8
08-May-2024 22:00,Auto-UPI Pay,RR937315,1840.83,0.0,39156.97
09-May-2024 08:00,Local Vegetable Vendor,RR996834,397.83,0.0,38759.14
09-May-2024 18:00,Shell Petrol Bunk,RR824019,847.63,0.0,37911.51
10-May-2024 04:00,Balaji Medicals,RR626693,2411.47,0.0,35500.04
10-May-2024 14:00,SLV Refreshments,RR476433,1289.3,0.0,34210.74
11-May-2024 00:00,Siddeshwara Kirana Store,RR829265,425.07,0.0,33785.67
11-May-2024 10:00,Swiggy Order,RR981896,1052.79,0.0,32732.88
11-May-2024 20:00,Siddeshwara Kirana Store,RR473060,946.17,0.0,31786.71
12-May-2024 06:00,Local Vegetable Vendor,RR627288,2194.41,0.0,29592.3
12-May-2024 16:00,SLV Refreshments,RR689032,1440.99,0.0,28151.31
13-May-2024 02:00,Fastrack Service Center,RR887156,2141.23,0.0,26010.08
13-May-2024 12:00,SLV Refreshments,RR608574,1936.74,0.0,24073.34
13-May-2024 22:00,Fastrack Service Center,RR291198,2416.69,0.0,21656.65
14-May-2024 08:00,Nandini Milk Parlour,RR629452,495.77,0.0,21160.88
14-May-2024 18:00,Balaji Medicals,RR989633,2465.1,0.0,18695.77
15-May-2024 04:00,SLV Refreshments,RR491441,1480.54,0.0,17215.23
15-May-2024 14:00,Nandini Milk Parlour,RR127582,1429.24,0.0,15785.99
16-May-2024 00:00,Local Vegetable Vendor,RR295264,396.98,0.0,15389.01
16-May-2024 10:00,Laundry Service,RR784813,1343.63,0.0,14045.39
16-May-2024 20:00,Fastrack Service Center,RR924294,608.7,0.0,13436.68
17-May-2024 06:00,Star Local Supermarket,RR230971,1977.54,0.0,11459.14
17-May-2024 16:00,Fastrack Service Center,RR694267,1921.45,0.0,9537.69
18-May-2024 02:00,Siddeshwara Kirana Store,RR444082,1206.62,0.0,8331.07
18-May-2024 12:00,Fastrack Service Center,RR217664,2056.19,0.0,6274.88
18-May-2024 22:00,Siddeshwara Kirana Store,RR797525,558.13,0.0,5716.75
19-May-2024 08:00,Fastrack Service Center,RR111679,1673.51,0.0,4043.24
19-May-2024 18:00,SLV Refreshments,RR863250,2477.78,0.0,1565.46
20-May-2024 04:00,Nandini Milk Parlour,RR661073,1834.94,0.0,481.97
20-May-2024 14:00,Balaji Medicals,RR373044,1044.2,0.0,303.55
21-May-2024 00:00,Swiggy Order,RR238291,483.57,0.0,266.12
21-May-2024 10:00,Laundry Service,RR728180,2056.83,0.0,332.56
21-May-2024 20:00,Laundry Service,RR458578,303.63,0.0,28.94
22-May-2024 06:00,Local Vegetable Vendor,RR472930,364.7,0.0,160.24
22-May-2024 16:00,SLV Refreshments,RR798580,1038.44,0.0,473.69
23-May-2024 02:00,Laundry Service,RR318261,1924.13,0.0,482.48
23-May-2024 12:00,Balaji Medicals,RR658877,246.84,0.0,235.64
23-May-2024 22:00,Balaji Medicals,RR495275,324.92,0.0,146.34
24-May-2024 08:00,Balaji Medicals,RR320475,379.1,0.0,305.76
24-May-2024 18:00,Amma Bakery,RR125756,77.66,0.0,228.09
25-May-2024 04:00,Amma Bakery,RR665540,2149.78,0.0,327.69
25-May-2024 14:00,SLV Refreshments,RR357725,517.41,0.0,281.98
26-May-2024 00:00,Nandini Milk Parlour,RR477097,2037.82,0.0,325.61
26-May-2024 10:00,Balaji Medicals,RR280139,58.36,0.0,267.26
26-May-2024 20:00,Shell Petrol Bunk,RR104761,678.14,0.0,216.24
27-May-2024 06:00,Balaji Medicals,RR335149,159.24,0.0,57.0
27-May-2024 16:00,Nandini Milk Parlour,RR568524,1578.31,0.0,485.36
28-May-2024 02:00,Nandini Milk Parlour,RR981810,1817.98,0.0,367.74
28-May-2024 12:00,SLV Refreshments,RR412215,557.93,0.0,280.07
28-May-2024 22:00,Shell Petrol Bunk,RR819264,1813.52,0.0,116.14
29-May-2024 08:00,SLV Refreshments,RR183982,899.92,0.0,227.55
29-May-2024 18:00,SLV Refreshments,RR176554,859.34,0.0,195.72
30-May-2024 04:00,Siddeshwara Kirana Store,RR890630,1323.71,0.0,465.2
30-May-2024 14:00,Laundry Service,RR937959,1581.72,0.0,103.62
31-May-2024 00:00,Swiggy Order,RR614825,903.66,0.0,104.01
31-May-2024 10:00,Swiggy Order,RR589321,218.56,0.0,456.84
31-May-2024 20:00,Balaji Medicals,RR353723,1179.5,0.0,364.61
01-Jun-2024 06:00,Siddeshwara Kirana Store,RR162354,26.44,0.0,338.17
01-Jun-2024 16:00,Amma Bakery,RR319911,2464.83,0.0,101.07
02-Jun-2024 02:00,Star Local Supermarket,RR354191,2147.16,0.0,227.43
02-Jun-2024 12:00,Shell Petrol Bunk,RR277747,1311.97,0.0,303.48
02-Jun-2024 22:00,Laundry Service,RR691414,2241.62,0.0,167.73
03-Jun-2024 08:00,Auto-UPI Pay,RR934769,969.44,0.0,335.61
03-Jun-2024 18:00,Laundry Service,RR815434,721.05,0.0,316.64
04-Jun-2024 04:00,Star Local Supermarket,RR864792,1840.14,0.0,351.0
04-Jun-2024 14:00,Balaji Medicals,RR210701,1581.87,0.0,394.89
05-Jun-2024 00:00,Balaji Medicals,RR879670,501.41,0.0,433.17
05-Jun-2024 10:00,Fastrack Service Center,RR668866,909.24,0.0,333.11
05-Jun-2024 20:00,Laundry Service,RR958021,1048.32,0.0,324.54
06-Jun-2024 06:00,Shell Petrol Bunk,RR224030,1460.03,0.0,191.67
06-Jun-2024 16:00,Siddeshwara Kirana Store,RR318950,2379.16,0.0,289.47
07-Jun-2024 02:00,Balaji Medicals,RR398500,2342.19,0.0,317.31
07-Jun-2024 12:00,Balaji Medicals,RR640095,2272.41,0.0,233.67
07-Jun-2024 22:00,Local Vegetable Vendor,RR221020,589.57,0.0,430.59
08-Jun-2024 08:00,Balaji Medicals,RR317384,771.72,0.0,171.5
08-Jun-2024 18:00,Star Local Supermarket,RR749348,2163.31,0.0,319.28
09-Jun-2024 04:00,Swiggy Order,RR284877,783.37,0.0,259.13
09-Jun-2024 14:00,Local Vegetable Vendor,RR309053,1471.61,0.0,448.46
10-Jun-2024 00:00,Nandini Milk Parlour,RR425158,1197.14,0.0,147.69
10-Jun-2024 10:00,Auto-UPI Pay,RR357672,1129.24,0.0,499.63
10-Jun-2024 20:00,Auto-UPI Pay,RR482982,2260.18,0.0,254.48
11-Jun-2024 06:00,Nandini Milk Parlour,RR558522,1839.3,0.0,183.07
11-Jun-2024 16:00,Amma Bakery,RR208989,866.8,0.0,382.03
12-Jun-2024 02:00,Local Vegetable Vendor,RR385232,586.17,0.0,443.96
12-Jun-2024 12:00,Amma Bakery,RR100597,527.9,0.0,271.06
12-Jun-2024 22:00,Amma Bakery,RR972337,1109.13,0.0,422.81
13-Jun-2024 08:00,Shell Petrol Bunk,RR247579,2198.7,0.0,296.93
13-Jun-2024 18:00,SLV Refreshments,RR258613,2071.57,0.0,253.93
14-Jun-2024 04:00,Swiggy Order,RR781325,606.3,0.0,365.97
14-Jun-2024 14:00,Fastrack Service Center,RR955008,2340.75,0.0,278.93
15-Jun-2024 00:00,Fastrack Service Center,RR489597,2372.37,0.0,421.46
15-Jun-2024 10:00,Zomato Pay,RR813627,2131.95,0.0,387.56
15-Jun-2024 20:00,Auto-UPI Pay,RR839689,1646.38,0.0,434.52
16-Jun-2024 06:00,Siddeshwara Kirana Store,RR865028,2003.76,0.0,306.33
16-Jun-2024 16:00,Nandini Milk Parlour,RR919282,2410.78,0.0,467.96
17-Jun-2024 02:00,Shell Petrol Bunk,RR827120,1323.38,0.0,123.75
17-Jun-2024 12:00,Laundry Service,RR785148,180.29,0.0,392.38
17-Jun-2024 22:00,Fastrack Service Center,RR126609,422.31,0.0,280.25
