Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Closing Balance
01-May-2024 00:00,SALARY CREDIT - CORP,RR285265,0.0,103258.55,178258.55
01-May-2024 10:00,BESCOM Electricity Bill,RR506025,958.4,0.0,177300.15
01-May-2024 20:00,Auto-UPI Pay,RR664004,1127.59,0.0,176172.56
02-May-2024 06:00,Fastrack Service Center,RR357532,819.92,0.0,175352.63
02-May-2024 16:00,Amma Bakery,RR191695,304.47,0.0,175048.16
03-May-2024 02:00,Auto-UPI Pay,RR184477,916.76,0.0,174131.4
03-May-2024 12:00,Fastrack Service Center,RR134071,949.45,0.0,173181.95
03-May-2024 22:00,Balaji Medicals,RR920030,906.03,0.0,172275.91
04-May-2024 08:00,Amma Bakery,RR904344,499.41,0.0,171776.51
04-May-2024 18:00,Nandini Milk Parlour,RR681312,783.18,0.0,170993.33
05-May-2024 04:00,BESCOM Electricity Bill,RR100284,537.3,0.0,170456.03
05-May-2024 14:00,Nandini Milk Parlour,RR807512,927.25,0.0,169528.78
06-May-2024 00:00,Laundry Service,RR580603,770.59,0.0,168758.18
06-May-2024 10:00,Nandini Milk Parlour,RR273227,1175.28,0.0,167582.9
06-May-2024 20:00,Star Local Supermarket,RR276674,67.09,0.0,167515.81
07-May-2024 06:00,Airtel Broadband,RR360869,709.5,0.0,166806.31
07-May-2024 16:00,Balaji Medicals,RR192419,668.21,0.0,166138.1
08-May-2024 02:00,Siddeshwara Kirana Store,RR332872,1005.52,0.0,165132.58
08-May-2024 12:00,Jio Postpaid,RR546531,1044.98,0.0,164087.6
08-May-2024 22:00,Amma Bakery,RR437881,240.47,0.0,163847.13
09-May-2024 08:00,BESCOM Electricity Bill,RR201415,332.53,0.0,163514.6
09-May-2024 18:00,Laundry Service,RR827972,387.36,0.0,163127.25
10-May-2024 04:00,SLV Refreshments,RR456523,929.96,0.0,162197.28
10-May-2024 14:00,Amma Bakery,RR591088,975.53,0.0,161221.75
11-May-2024 00:00,Shell Petrol Bunk,RR869674,792.6,0.0,160429.15
11-May-2024 10:00,Local Vegetable Vendor,RR250124,1098.07,0.0,159331.08
11-May-2024 20:00,Jio Postpaid,RR515266,592.48,0.0,158738.6
12-May-2024 06:00,BESCOM Electricity Bill,RR496446,563.47,0.0,158175.13
12-May-2024 16:00,Siddeshwara Kirana Store,RR150414,927.92,0.0,157247.21
13-May-2024 02:00,Siddeshwara Kirana Store,RR705223,888.4,0.0,156358.81
13-May-2024 12:00,Local Vegetable Vendor,RR286657,823.29,0.0,155535.53
13-May-2024 22:00,Fastrack Service Center,RR787558,663.95,0.0,154871.58
14-May-2024 08:00,SLV Refreshments,RR771468,1008.81,0.0,153862.77
14-May-2024 18:00,Nandini Milk Parlour,RR105658,1053.97,0.0,152808.8
15-May-2024 04:00,Shell Petrol Bunk,RR266154,773.59,0.0,152035.2
15-May-2024 14:00,Auto-UPI Pay,RR816264,113.8,0.0,151921.41
16-May-2024 00:00,Siddeshwara Kirana Store,RR518755,1072.65,0.0,150848.76
16-May-2024 10:00,Nandini Milk Parlour,RR711540,764.13,0.0,150084.63
16-May-2024 20:00,Auto-UPI Pay,RR702008,131.39,0.0,149953.24
17-May-2024 06:00,Star Local Supermarket,RR563725,404.28,0.0,149548.96
17-May-2024 16:00,Balaji Medicals,RR170677,355.07,0.0,149193.89
18-May-2024 02:00,Star Local Supermarket,RR967046,467.35,0.0,148726.54
18-May-2024 12:00,Laundry Service,RR383171,326.34,0.0,148400.2
18-May-2024 22:00,Jio Postpaid,RR675445,1055.82,0.0,147344.38
19-May-2024 08:00,BESCOM Electricity Bill,RR691661,1118.51,0.0,146225.87
19-May-2024 18:00,Airtel Broadband,RR638936,930.29,0.0,145295.58
20-May-2024 04:00,Nandini Milk Parlour,RR476800,1101.88,0.0,144193.7
20-May-2024 14:00,Laundry Service,RR181669,874.72,0.0,143318.97
21-May-2024 00:00,BESCOM Electricity Bill,RR356762,577.72,0.0,142741.25
21-May-2024 10:00,SLV Refreshments,RR630678,796.85,0.0,141944.4
21-May-2024 20:00,Local Vegetable Vendor,RR284828,151.46,0.0,141792.94
22-May-2024 06:00,Fastrack Service Center,RR955289,179.14,0.0,141613.8
22-May-2024 16:00,Nandini Milk Parlour,RR813167,1187.28,0.0,140426.51
23-May-2024 02:00,SLV Refreshments,RR982146,995.64,0.0,139430.88
23-May-2024 12:00,BESCOM Electricity Bill,RR192424,399.49,0.0,139031.38
23-May-2024 22:00,Balaji Medicals,RR594925,52.16,0.0,138979.22
24-May-2024 08:00,Balaji Medicals,RR662082,191.86,0.0,138787.36
24-May-2024 18:00,Shell Petrol Bunk,RR750419,298.26,0.0,138489.1
25-May-2024 04:00,Siddeshwara Kirana Store,RR794611,510.52,0.0,137978.58
25-May-2024 14:00,Amma Bakery,RR351421,1025.51,0.0,136953.07
26-May-2024 00:00,Laundry Service,RR991214,563.03,0.0,136390.04
26-May-2024 10:00,Star Local Supermarket,RR752951,1043.47,0.0,135346.58
26-May-2024 20:00,Amma Bakery,RR848022,1129.95,0.0,134216.63
27-May-2024 06:00,Auto-UPI Pay,RR514828,951.2,0.0,133265.43
27-May-2024 16:00,Laundry Service,RR638526,1163.72,0.0,132101.71
28-May-2024 02:00,Star Local Supermarket,RR482800,749.91,0.0,131351.81
28-May-2024 12:00,BESCOM Electricity Bill,RR902071,547.41,0.0,130804.4
28-May-2024 22:00,BESCOM Electricity Bill,RR532815,1127.19,0.0,129677.21
29-May-2024 08:00,Star Local Supermarket,RR434475,129.28,0.0,129547.93
29-May-2024 18:00,BESCOM Electricity Bill,RR387861,1094.97,0.0,128452.96
30-May-2024 04:00,SALARY CREDIT - CORP,RR102157,0.0,97833.89,226286.84
30-May-2024 14:00,Siddeshwara Kirana Store,RR772718,916.39,0.0,225370.45
31-May-2024 00:00,Airtel Broadband,RR545813,1115.84,0.0,224254.61
31-May-2024 10:00,BESCOM Electricity Bill,RR512846,523.31,0.0,223731.31
31-May-2024 20:00,Shell Petrol Bunk,RR486343,86.48,0.0,223644.83
01-Jun-2024 06:00,Balaji Medicals,RR508679,1113.58,0.0,222531.25
01-Jun-2024 16:00,Local Vegetable Vendor,RR700511,987.45,0.0,221543.8
02-Jun-2024 02:00,Star Local Supermarket,RR559631,524.7,0.0,221019.1
02-Jun-2024 12:00,SLV Refreshments,RR292931,1165.37,0.0,219853.73
02-Jun-2024 22:00,Auto-UPI Pay,RR246397,899.29,0.0,218954.45
03-Jun-2024 08:00,Fastrack Service Center,RR712061,649.3,0.0,218305.15
03-Jun-2024 18:00,Airtel Broadband,RR793286,224.17,0.0,218080.98
04-Jun-2024 04:00,Amma Bakery,RR121908,956.87,0.0,217124.12
04-Jun-2024 14:00,Balaji Medicals,RR331940,688.14,0.0,216435.98
05-Jun-2024 00:00,Siddeshwara Kirana Store,RR660592,633.08,0.0,215802.9
05-Jun-2024 10:00,Amma Bakery,RR139351,262.3,0.0,215540.6
05-Jun-2024 20:00,Auto-UPI Pay,RR568048,546.5,0.0,214994.1
06-Jun-2024 06:00,Nandini Milk Parlour,RR287905,921.73,0.0,214072.37
06-Jun-2024 16:00,Balaji Medicals,RR258510,565.48,0.0,213506.9
07-Jun-2024 02:00,Balaji Medicals,RR470936,288.83,0.0,213218.06
07-Jun-2024 12:00,Shell Petrol Bunk,RR284466,972.07,0.0,212245.99
07-Jun-2024 22:00,Star Local Supermarket,RR856563,252.45,0.0,211993.54
08-Jun-2024 08:00,Local Vegetable Vendor,RR342089,502.89,0.0,211490.66
08-Jun-2024 18:00,Star Local Supermarket,RR617703,529.97,0.0,210960.69
09-Jun-2024 04:00,BESCOM Electricity Bill,RR408499,827.79,0.0,210132.9
09-Jun-2024 14:00,Laundry Service,RR178556,517.51,0.0,209615.39
10-Jun-2024 00:00,Siddeshwara Kirana Store,RR131181,374.71,0.0,209240.69
10-Jun-2024 10:00,Balaji Medicals,RR499836,729.53,0.0,208511.16
10-Jun-2024 20:00,Local Vegetable Vendor,RR285461,206.64,0.0,208304.51
11-Jun-2024 06:00,Local Vegetable Vendor,RR826535,1144.99,0.0,207159.53
