Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Closing Balance
01-May-2024 00:00,CASH DEPOSIT-CDM,RR787511,0.0,11273.74,26273.74
01-May-2024 10:00,FAILED-UPI-REV,RR880334,3398.69,0.0,22875.06
01-May-2024 20:00,CASH-OUT-AGENT,RR351644,4005.19,0.0,18869.86
02-May-2024 06:00,CASH-OUT-AGENT,RR974109,4565.68,0.0,14304.19
02-May-2024 16:00,FAILED-UPI-REV,RR192476,163.07,0.0,14141.12
03-May-2024 02:00,FAILED-UPI-REV,RR736307,938.41,0.0,13202.71
03-May-2024 12:00,LOCAL WINE STORE,RR638902,446.02,0.0,12756.68
03-May-2024 22:00,ATM WITHDRAWAL,RR802966,1091.46,0.0,11665.22
04-May-2024 08:00,LOCAL WINE STORE,RR145376,994.47,0.0,10670.75
04-May-2024 18:00,CASH-OUT-AGENT,RR131989,2684.83,0.0,7985.91
05-May-2024 04:00,FAILED-UPI-REV,RR446363,1305.97,0.0,6679.94
05-May-2024 14:00,ATM WITHDRAWAL,RR149059,3681.37,0.0,2998.58
06-May-2024 00:00,FAILED-UPI-REV,RR191033,833.41,0.0,2165.17
06-May-2024 10:00,CASH-OUT-AGENT,RR196101,440.0,0.0,1725.17
06-May-2024 20:00,ATM WITHDRAWAL,RR571723,1472.44,0.0,252.73
07-May-2024 06:00,FAILED-UPI-REV,RR825541,4345.57,0.0,-4092.84
07-May-2024 16:00,ATM WITHDRAWAL,RR696789,2047.35,0.0,-6140.19
08-May-2024 02:00,CASH-OUT-AGENT,RR105123,3694.91,0.0,-9835.1
08-May-2024 12:00,LOCAL WINE STORE,RR431519,1594.09,0.0,-11429.2
08-May-2024 22:00,FAILED-UPI-REV,RR849008,3969.73,0.0,-15398.93
09-May-2024 08:00,FAILED-UPI-REV,RR868662,4467.83,0.0,-19866.76
09-May-2024 18:00,FAILED-UPI-REV,RR823313,988.65,0.0,-20855.41
10-May-2024 04:00,ATM WITHDRAWAL,RR854804,1840.96,0.0,-22696.37
10-May-2024 14:00,FAILED-UPI-REV,RR600416,644.61,0.0,-23340.99
11-May-2024 00:00,DREAM11-ENTRY,RR217244,3346.76,0.0,-26687.75
11-May-2024 10:00,LOCAL WINE STORE,RR596407,116.32,0.0,-26804.07
11-May-2024 20:00,LOCAL WINE STORE,RR237620,3796.1,0.0,-30600.17
12-May-2024 06:00,ATM WITHDRAWAL,RR655452,4997.52,0.0,-35597.69
12-May-2024 16:00,FAILED-UPI-REV,RR185289,3983.96,0.0,-39581.66
13-May-2024 02:00,LOCAL WINE STORE,RR238491,3890.19,0.0,-43471.85
13-May-2024 12:00,CASH-OUT-AGENT,RR845599,1097.79,0.0,-44569.63
13-May-2024 22:00,LOCAL WINE STORE,RR406836,297.85,0.0,-44867.49
14-May-2024 08:00,LOCAL WINE STORE,RR254646,1122.84,0.0,-45990.33
14-May-2024 18:00,CASH-OUT-AGENT,RR901540,520.41,0.0,-46510.74
15-May-2024 04:00,CASH-OUT-AGENT,RR773985,1639.39,0.0,-48150.13
15-May-2024 14:00,CASH-OUT-AGENT,RR499159,4405.32,0.0,-52555.46
16-May-2024 00:00,CASH-OUT-AGENT,RR597285,4967.87,0.0,-57523.33
16-May-2024 10:00,FAILED-UPI-REV,RR593961,3428.28,0.0,-60951.61
16-May-2024 20:00,LOCAL WINE STORE,RR739265,4730.33,0.0,-65681.94
17-May-2024 06:00,CASH-OUT-AGENT,RR416882,868.09,0.0,-66550.03
17-May-2024 16:00,LOCAL WINE STORE,RR859417,1939.91,0.0,-68489.95
18-May-2024 02:00,DREAM11-ENTRY,RR489550,1372.3,0.0,-69862.25
18-May-2024 12:00,ATM WITHDRAWAL,RR475260,4938.91,0.0,-74801.16
18-May-2024 22:00,LOCAL WINE STORE,RR253853,3140.43,0.0,-77941.59
19-May-2024 08:00,LOCAL WINE STORE,RR711406,2766.08,0.0,-80707.67
19-May-2024 18:00,LOCAL WINE STORE,RR289082,4915.13,0.0,-85622.79
20-May-2024 04:00,FAILED-UPI-REV,RR582133,1655.02,0.0,-87277.81
20-May-2024 14:00,CASH-OUT-AGENT,RR617713,3229.26,0.0,-90507.07
21-May-2024 00:00,DREAM11-ENTRY,RR678038,4533.34,0.0,-95040.4
21-May-2024 10:00,CASH-OUT-AGENT,RR778780,2633.76,0.0,-97674.16
21-May-2024 20:00,ATM WITHDRAWAL,RR867993,396.03,0.0,-98070.2
22-May-2024 06:00,FAILED-UPI-REV,RR708336,3533.05,0.0,-101603.25
22-May-2024 16:00,FAILED-UPI-REV,RR205830,1602.06,0.0,-103205.31
23-May-2024 02:00,FAILED-UPI-REV,RR272918,923.11,0.0,-104128.42
23-May-2024 12:00,ATM WITHDRAWAL,RR340665,2229.42,0.0,-106357.84
23-May-2024 22:00,CASH-OUT-AGENT,RR640356,1627.94,0.0,-107985.77
24-May-2024 08:00,CASH-OUT-AGENT,RR157438,1627.45,0.0,-109613.23
24-May-2024 18:00,DREAM11-ENTRY,RR457431,4897.16,0.0,-114510.39
25-May-2024 04:00,LOCAL WINE STORE,RR549066,1544.04,0.0,-116054.43
25-May-2024 14:00,LOCAL WINE STORE,RR534372,1395.75,0.0,-117450.18
26-May-2024 00:00,ATM WITHDRAWAL,RR917840,4603.37,0.0,-122053.54
26-May-2024 10:00,FAILED-UPI-REV,RR178579,545.26,0.0,-122598.81
26-May-2024 20:00,DREAM11-ENTRY,RR393358,2451.22,0.0,-125050.03
27-May-2024 06:00,ATM WITHDRAWAL,RR442540,2772.18,0.0,-127822.21
27-May-2024 16:00,ATM WITHDRAWAL,RR955349,1933.06,0.0,-129755.27
28-May-2024 02:00,FAILED-UPI-REV,RR514878,792.27,0.0,-130547.54
28-May-2024 12:00,LOCAL WINE STORE,RR852019,840.77,0.0,-131388.31
28-May-2024 22:00,LOCAL WINE STORE,RR273033,3531.9,0.0,-134920.21
29-May-2024 08:00,ATM WITHDRAWAL,RR336863,2545.25,0.0,-137465.46
29-May-2024 18:00,LOCAL WINE STORE,RR869253,2516.21,0.0,-139981.67
30-May-2024 04:00,DREAM11-ENTRY,RR913235,765.64,0.0,-140747.32
