Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Closing Balance
01-May-2024 00:00,UPI-INWARD-TRANSFER,RR535211,0.0,35670.94,50670.94
01-May-2024 10:00,BESCOM Electricity Bill,RR243432,407.59,0.0,50263.35
01-May-2024 20:00,Laundry Service,RR531488,499.59,0.0,49763.76
02-May-2024 06:00,Local Vegetable Vendor,RR726566,1895.84,0.0,47867.92
02-May-2024 16:00,Airtel Broadband,RR537077,351.47,0.0,47516.45
03-May-2024 02:00,Zomato Pay,RR626333,1029.9,0.0,46486.55
03-May-2024 12:00,Amma Bakery,RR335535,1437.97,0.0,45048.58
03-May-2024 22:00,Balaji Medicals,RR105697,1406.53,0.0,43642.05
04-May-2024 08:00,Jio Postpaid,RR152926,765.72,0.0,42876.34
04-May-2024 18:00,Nandini Milk Parlour,RR940989,1662.46,0.0,41213.87
05-May-2024 04:00,Local Vegetable Vendor,RR138603,138.81,0.0,41075.06
05-May-2024 14:00,Nandini Milk Parlour,RR672954,1594.78,0.0,39480.28
06-May-2024 00:00,Amma Bakery,RR553380,1849.42,0.0,37630.86
06-May-2024 10:00,Swiggy Order,RR182474,2431.31,0.0,35199.55
06-May-2024 20:00,Laundry Service,RR761309,1532.13,0.0,33667.43
07-May-2024 06:00,Airtel Broadband,RR739478,1744.04,0.0,31923.38
07-May-2024 16:00,Siddeshwara Kirana Store,RR632780,2062.01,0.0,29861.37
08-May-2024 02:00,Zomato Pay,RR826971,2056.29,0.0,27805.09
08-May-2024 12:00,Jio Postpaid,RR375252,1502.96,0.0,26302.13
08-May-2024 22:00,Fastrack Service Center,RR341959,1111.49,0.0,25190.64
09-May-2024 08:00,Jio Postpaid,RR175336,158.21,0.0,25032.43
09-May-2024 18:00,Airtel Broadband,RR322695,2337.39,0.0,22695.04
10-May-2024 04:00,Zomato Pay,RR931619,1807.04,0.0,20888.0
10-May-2024 14:00,SLV Refreshments,RR195441,827.85,0.0,20060.15
11-May-2024 00:00,Shell Petrol Bunk,RR823984,1718.59,0.0,18341.56
11-May-2024 10:00,Zomato Pay,RR252872,361.47,0.0,17980.09
11-May-2024 20:00,Auto-UPI Pay,RR587351,1764.19,0.0,16215.9
12-May-2024 06:00,Fastrack Service Center,RR305946,1677.75,0.0,14538.15
12-May-2024 16:00,Zomato Pay,RR557967,2433.53,0.0,12104.62
13-May-2024 02:00,Zomato Pay,RR780442,1007.19,0.0,11097.43
13-May-2024 12:00,Shell Petrol Bunk,RR164778,882.89,0.0,10214.54
13-May-2024 22:00,Shell Petrol Bunk,RR912318,2257.28,0.0,7957.27
14-May-2024 08:00,Laundry Service,RR708514,1972.81,0.0,5984.45
14-May-2024 18:00,Swiggy Order,RR870101,325.2,0.0,5659.25
15-May-2024 04:00,Fastrack Service Center,RR921785,1329.78,0.0,4329.48
15-May-2024 14:00,Fastrack Service Center,RR244736,2288.57,0.0,2040.91
16-May-2024 00:00,Auto-UPI Pay,RR415060,371.58,0.0,1669.33
16-May-2024 10:00,Zomato Pay,RR438783,449.5,0.0,1219.83
16-May-2024 20:00,BESCOM Electricity Bill,RR383121,982.49,0.0,237.33
17-May-2024 06:00,Swiggy Order,RR394905,1411.92,0.0,275.6
17-May-2024 16:00,Airtel Broadband,RR221109,1100.53,0.0,222.68
18-May-2024 02:00,SLV Refreshments,RR264047,1402.41,0.0,295.14
18-May-2024 12:00,Nandini Milk Parlour,RR730136,481.74,0.0,384.13
18-May-2024 22:00,Nandini Milk Parlour,RR243430,117.79,0.0,266.34
19-May-2024 08:00,Siddeshwara Kirana Store,RR584317,1508.43,0.0,327.58
19-May-2024 18:00,Balaji Medicals,RR849595,33.73,0.0,293.84
20-May-2024 04:00,Zomato Pay,RR599015,2381.33,0.0,407.71
20-May-2024 14:00,Siddeshwara Kirana Store,RR812965,1568.79,0.0,228.73
21-May-2024 00:00,Laundry Service,RR452557,1940.26,0.0,437.42
21-May-2024 10:00,Nandini Milk Parlour,RR390821,33.56,0.0,403.86
21-May-2024 20:00,Amma Bakery,RR852392,1943.79,0.0,146.39
